Service_ID,Customer_Details,Phone_Number,Vehicle_Description,License_Plate,Service_Type,Date_Of_Service,Total_Cost,Payment_Status,Internal_Notes
SRV-1135,Alexander Anderson,555-234-5678 ext 12,BMW X5,7xyz123,Inspection + Oil,12/05/2023,FREE / WARRANTY,Pending,Paid via cash
SRV-1136,Prof. S. Davis,+1 (555) 019-2834,BMW 3 Series,NO PLATE,AC Refill,02/28/2025,586,paid,
SRV-1137,Sarah smith,+1-555-987-6543,2020 Toyota Camry (Plate: ABC-8901),,Full Maintenance,01/15/2025,179,Completed,Customer complained about noise
SRV-1138,Mrs. john Williams,none,Hyundai Tucson,abc8901,Inspection + Oil,2024/11/03,$373.00,Pndg,Duplicate record?
SRV-1139,Mr. A. Garcia,(555) 234-5678,Mercedes E200,7XYZ123,Major Service,02/28/2025,732,,
SRV-1140,Mrs. A. Harris,5552345678,Audi Q7,7XYZ123 ,oil change,12/05/2023,933,Paid,Duplicate record?
SRV-1141,Mrs. David SMITH | Tel: 555.987.6543 | Mail: info@company.org,,Hyundai Tucson,7XYZ123,Inspection + Oil,00/00/2024,229,Completed,Need to re-check invoice
SRV-1142,Ms. Mike Taylor | Tel: none | Mail: john.smith@gmail.com,,Honda CR-V,NO PLATE,alignment,11/03/2024,498,CANCELLED,Bring back next week
SRV-1143,,,18 Mercedes-Benz E-Class (Plate: K9922X),,Battery,20250228,735,Completed,
SRV-1144,Mrs. S. Smith,N/A,2024 Merc C-Class (Plate: ABC 8901),,Diag,11/03/2024,583,paid,Duplicate record?
SRV-1145,Dr. Christian Harris,555.987.6543,Ford Mustang,7XYZ 123,alignment,15-Jan-2025,1190,Pndg,Customer complained about noise
SRV-1146,Mr. Dmitri smith | Tel: +1 (555) 019-2834 | Mail: none,,Audi A4,7xyz123,Oil Change,2024-11-03,844,Done,Need to re-check invoice
SRV-1147,Ms. Dmitri Harris,+1 (555) 019-2834,bmw x5,7XYZ123,Engine Diagnostics,12/05/2023,115,Paid,
SRV-1148,Mr. Sarah Martin | Tel: 555 019 2834 | Mail: mike.w@hotmail.com,,Mercedes-Benz E-Class,abc8901,Tire Rotation,15/01/2025,911,paid,Need to re-check invoice
SRV-1149,Dr. Dmitri SMITH,555-019-2834,2021 BMW X5 (Plate: K9922X),,Oil Change,15-Jan-2025,-266,CANCELLED,
SRV-1014,Mr. Anna smith,5552345678,Audi Q7,K9922X,OIL CHANGE,03/11/2024,147,COMPLETED,
SRV-1151,Alex SMITH,none,Merc C-Class,NONE,Diag,02/28/2025,366,,Paid via cash
SRV-1152,Mr. Sarah Jackson,5552345678,Hyundai Elantra,NEW CAR,Diag,2025-01-15,1002,paid,Bring back next week
SRV-1153,Ms. Michael Garcia,555-234-5678 ext 12,2020 Ford F-150 (Plate: NO PLATE),,Engine Diagnostics,2025.01.15,395,,
SRV-1154,Mr. Helen White | Tel:  | Mail: alexander.t@domain.com,,TOYOTA CAMRY,K99-22X,AC Refill,2023-05-12,133,done,
SRV-1155,Dr. Alex Smith,none,TOYOTA CAMRY,ABC-8901,Brake Pad Change,02/28/2025,630 USD,in progress,Replaced front left light as well for free
SRV-1156,Ms. Elena Jackson,none,Ford Mustang,ABC-8901,alignment,00/00/2024,1017,done,VIP client - gave 10% off
SRV-1157,Dr. Bob Thomas,-,N/A Volkswagen Golf (Plate: NEW CAR),,Diag,00/00/2024,491,paid,
SRV-1047,Dr. Helen Harris,5552345678,2024 Volkswagen Golf (Plate: abc8901),,Air Conditioning,2024-11-03,1197,COMPLETED,Duplicate record?
SRV-1159,Mike White,none,Kia Sportage,NONE,Major Service,"Nov 3, 2024",$395.00,,
SRV-1160,Prof. Christian Garcia,555-234-5678 ext 12,2024 VW Golf (Plate: UNREGISTERED),,Diagnostics,12/05/2023,254,done,Bring back next week
SRV-1161,Bob smith,555-234-5678 ext 12,2015 bmw x5 (Plate: 7XYZ123),,Rear Brakes,2023-05-12,532,paid,
SRV-1162,Prof. Dmitriy Martin,555 019 2834,BMW 328i,ABC 8901,OIL CHANGE,"Jan 15, 2025",370,Pending,Replaced front left light as well for free
SRV-1163,Prof. Christian Anderson,call spouse 555-888-1122,18 Audi Q7 (Plate: abc8901),,oil change,"Jan 15, 2025",$6755892,Pndg,Paid via cash
SRV-1164,Mike Martin | Tel: (555) 234-5678 | Mail: ,,2024 Mercedes E200 (Plate: K9922X),,Tire Rotation,01-02-25,965 USD,CANCELLED,Customer complained about noise
SRV-1165,Ms. Robert Jackson,555-234-5678 ext 12,Honda CR-V,7XYZ123 ,OIL CHANGE,2023-13-45,FREE / WARRANTY,Paid,VIP client - gave 10% off
SRV-1166,Mr. Elena Harris,-,BMW X5,7xyz123,Wheel Alignment,00/00/2024,689 USD,unpaid,Need to re-check invoice
SRV-1167,Mr. Mike Wilson,+15550192834,Honda Civic,K99-22X,Brake Pads Replacement,2023-13-45,460,paid,Duplicate record?
SRV-1168,Mrs. A. Jones | Tel: call spouse 555-888-1122 | Mail: alexander.t@domain.com,,18 ford f150 (Plate: NEW CAR),,Diagnostics,2025-01-15,479,CANCELLED,Duplicate record?
SRV-1169,Christian Jackson | Tel: 555.987.6543 | Mail: -,,Merc C-Class,7XYZ123 ,Engine Check,01/15/2025,,Paid,Replaced front left light as well for free
SRV-1170,Christian Thompson | Tel: +15550192834 | Mail: invalid-email@,,Hyundai Elantra,abc8901,oil change,Feb 28 2025,950,done,Bring back next week
SRV-1171,Ms. Elena Anderson,5550192834,Toyota Corolla,ABC-8901,Air Conditioning,2025-02-28,956,COMPLETED,Need to re-check invoice
SRV-1172,Mrs. john Garcia | Tel:  | Mail: ,,Mercedes E200,abc8901,Engine Check,"Nov 3, 2024",1133,Pndg,Paid via cash
SRV-1173,Ms. john Miller | Tel: 555 019 2834 | Mail: sarah_j@yahoo.com,,Audi Q7,ABC-8901,Inspection + Oil,02/28/2025,630,Pndg,
SRV-1174,Mr. Alex Martin,N/A,2023 BMW 328i (Plate: NEW CAR),,Battery,15/01/2025,1018,Pndg,
SRV-1041,Ms. Mike Jackson | Tel: 555-234-5678 | Mail: -,,Volkswagen Golf,abc8901,Brake Pads Replacement,2023-13-45,783,Pndg,Customer complained about noise
SRV-1176,Ms. John Johnson,(555) 234-5678,bmw x5,NO PLATE,Major Service,"Nov 3, 2024",641 USD,done,
SRV-1177,Michael smith,555-234-5678 ext 12,Audi Q7,K99-22X,Battery Replacement,"Jan 15, 2025",$8999489,done,VIP client - gave 10% off
SRV-1178,Ms. John Smith,-,2018 bmw x5 (Plate: K9922X),,Tire Rotation,15/01/2025,289,done,
SRV-1179,Ms. S. Williams,5550192834,MERCEDES E-CLASS,7XYZ 123,Battery,2024-11-03,390,CANCELLED,Need to re-check invoice
SRV-1180,Mr. Sarah Williams,+15550192834,Ford Mustang,abc8901,Rear Brakes,03/11/2024,588,Paid,Need to re-check invoice
SRV-1001,John Wilson,555-234-5678,Honda CR-V,ABC 8901,Rear Brakes,20250228,573,paid,Need to re-check invoice
SRV-1182,Dr. S. Thomas,+1-555-987-6543,18 honda civic (Plate: 7XYZ123 ),,Air Conditioning,15/01/2025,$4619565,Done,Customer complained about noise
SRV-1183,Dr. Dmitry Martin,+1-555-987-6543,TOYOTA CAMRY,UNREGISTERED,Brake Pads Replacement,03/11/2024,-70,Paid,Bring back next week
SRV-1184,Dr. Alex Garcia,5550192834,2020 Hyundai Tucson (Plate: 7XYZ123),,Tire Fitting,"Jan 15, 2025",192,in progress,VIP client - gave 10% off
