Property_Address,Listing_Price,Square_Feet,Property_Type,Listing_Date,Agent_Contact_Info
"55 Cedar Ln, New York, N.Y. 10003",1634959,3167 sqft,condo,2023-09-17,Emily Davis - 5550192834 - alice_j@yahoo.com
"635 Cedar Ln, Staten Island, New York 10001","$650,074",1025,Apartment,05/14/2023,Robert Brown - 5550192834 - rbrown@outlook.com
"458 Park Ave, New-York, NY 10002","$1,668,033",2718,apt,29-Dec-2023,John Smith - 5550192834 - jsmith@gmail.com
928 Pine Rd  New-York ny,1413128 USD,2585,Single Family Home,09-Feb-2023,Robert Brown - 5550192834 - jsmith@gmail.com
"659 Cedar Ln, Queens, NY 10001",798697,1522,House,2023-10-15,Sarah Miller - (555) 019-2834 - jsmith@gmail.com
"994 Broadway, New York City, ny 10001",1258613,3929,Single Family,16-Jul-2023,Sarah Miller - 555-0192 - rbrown@outlook.com
"530 Maple Ave, New York, New York 10003","$1,148,389",3588,Apt.,2023-03-21,John Smith (jsmith@gmail.com)
607 Washington Blvd  New York City ny,"$1,265,846",4333 sq ft,Single Family Home,06/10/2023,Alice Johnson - +1 555-0149 - emily.d@realestate.com
"145 Cedar Ln, Staten Island, New York 11201",,3605,Apartment,2023-05-15,David Taylor
"681 Washington Blvd, Staten Island, ny 10002",1284430 USD,2657,twnd house,07/24/2023,Alice Johnson
"706 Broadway, New-York, NY 11201","$483,353",2552,Townhouse,25-Aug-2023,John Smith - +1 555-0149 - rbrown@outlook.com
"134 Lakeview Dr, Staten Island, ny","$864,365",-999,Multi-Family,12-May-2023,David Taylor - 5550192834 - rbrown@outlook.com
"304 Lakeview Dr, Queens, New York 10001","$1,142,291",2425,Townhouse,2023-07-08,Alice Johnson - +1 555-0149 - jsmith@gmail.com
"  27 park ave, STATEN ISLAND ","$2,449,431",1236 sq ft,Single Family,17-May-2023,Emily Davis - +1 555-0149 - alice_j@yahoo.com
"627 Cedar Ln, New York City, ny 10003",1728740,2231,Apartment,08-Feb-2023,Michael Wilson - (555) 019-2834 - jsmith@gmail.com
"878 Elm Street, Brooklyn, N.Y. 11101",478879 USD,-999,Single Family Home,11/23/2023,John Smith - 5550192834 - rbrown@outlook.com
"494 Elm Street, New York, N.Y. 10003","$ 450,504.00",1809,House,03/31/2024,Emily Davis - 5550192834 - alice_j@yahoo.com
"19 Main St, Bronx, NY","$804,382",1387,apt,2023-02-22,Alice Johnson (emily.d@realestate.com)
"518 Washington Blvd, Bronx, New York","$2,030,480",,condo,2023-06-14,Robert Brown - 5550192834 - emily.d@realestate.com
"498 Main St, Bronx, New York",2007502,3459,Condo,2023-09-07,John Smith - +1 555-0149 - rbrown@outlook.com
"72 Cedar Ln, Bronx, NY 10002","$2,499,345",2178,apt,"August 15, 2023",John Smith (jsmith@gmail.com)
"806 Pine Rd, Queens, NY 11201",1558443,-999,apt,31-Oct-2023,John Smith - 5550192834 - jsmith@gmail.com
"  678 washington blvd, NEW-YORK ","$1,597,074",692 sq.ft.,twnd house,04/29/2023,John Smith - (555) 019-2834 - emily.d@realestate.com
"903 Main St, Queens, ny 10004",,-999,House,2023-09-09,John Smith - (555) 019-2834 - alice_j@yahoo.com
"483 Cedar Ln, Queens, N.Y. 11101","$484,620",581 sqft,apt,"April 19, 2023",Sarah Miller - 5550192834 - alice_j@yahoo.com
"962 Main St, Staten Island, NY 10004","$1,238,924",784,,2024-04-21,Robert Brown - (555) 019-2834 - alice_j@yahoo.com
"487 Oak Ave, New-York, New York 10002","$1,986,148",3989,condo,,Alice Johnson - (555) 019-2834 - rbrown@outlook.com
"911 Washington Blvd, NY, NY 11101",1253686 USD,1722,apt,,John Smith - (555) 019-2834 - emily.d@realestate.com
"846 Main St, Brooklyn, NY 10001",517428,-999,Apartment,05/27/2023,David Taylor (emily.d@realestate.com)
"  470 elm street, BRONX ",742352 USD,1420,Single Family,16-Mar-2024,Alice Johnson - (555) 019-2834 - alice_j@yahoo.com
"862 Broadway, Queens, N.Y. 10003",309342 USD,968,Townhouse,30-May-2023,David Taylor - +1 555-0149 - jsmith@gmail.com
"150 Oak Ave, Brooklyn, N.Y. 10001","$2,477,349",1403,Single Family Home,21-Feb-2023,Michael Wilson - (555) 019-2834 - emily.d@realestate.com
"845 Main St, Bronx, New York 11101",1997096,3713 sq.ft.,Multi-Family,01/14/2023,Sarah Miller - (555) 019-2834 - jsmith@gmail.com
"822 Pine Rd, NY, New York 11201","$1,655,881",4349 sqft,Condo,2024-02-17,Alice Johnson - +1 555-0149 - jsmith@gmail.com
"734 Pine Rd, New York, N.Y. 11201",503546,0,Apartment,01/04/2023,John Smith - 5550192834 - rbrown@outlook.com
"552 Maple Ave, Staten Island, New York 11101","$725,837",1212,Townhouse,2023-03-02,Emily Davis - (555) 019-2834 - rbrown@outlook.com
"855 Lakeview Dr, NY, N.Y. 10001",1672226,1947 sqft,Townhouse,07/25/2023,Alice Johnson - 5550192834 - emily.d@realestate.com
"628 Elm Street, New York, ny 11201","$1,837,688",1650 sqft,Single Family,2023-10-23,Sarah Miller - (555) 019-2834 - rbrown@outlook.com
"17 Broadway, Queens, N.Y.","$1,321,726",941,Apt.,03/08/2023,Michael Wilson - 5550192834 - jsmith@gmail.com
"940 Elm Street, New York City, NY 10001",1540217,3826,apt,28-Aug-2023,Robert Brown - +1 555-0149 - emily.d@realestate.com
"628 Elm Street, New York, ny 11201","$1,837,688",1650 sqft,Single Family,2023-10-23,John Smith - 555-0192
"531 Washington Blvd, NY, NY",921013 USD,2179,twnd house,08/28/2023,David Taylor
"  93 lakeview dr, NEW YORK CITY ","$1,893,990",-999,Single Family,2024-02-21,Sarah Miller - 555-0192 - emily.d@realestate.com
596 Oak Ave  Queens New York,424527 USD,2257,apt,"January 12, 2024",Robert Brown (jsmith@gmail.com)
"825 Lakeview Dr, New York, New York 11201","$1,804,286",3102,Single Family Home,02/24/2023,David Taylor - +1 555-0149 - alice_j@yahoo.com
"681 Washington Blvd, Staten Island, ny 10002",1284430 USD,2657,twnd house,07/24/2023,Alice Johnson
"  44 lakeview dr, BRONX ",1620359 USD,1169,Single Family,09/29/2023,Alice Johnson - 5550192834 - emily.d@realestate.com
237 Broadway  New-York New York,"$1,204,604",3153,apt,10-May-2024,Michael Wilson - +1 555-0149 - rbrown@outlook.com
"  723 broadway, QUEENS ","$382,894",2003,Multi-Family,05-Jan-2023,David Taylor - +1 555-0149 - rbrown@outlook.com
"  720 washington blvd, BROOKLYN ","$2,146,004",3371,Multi-Family,"May 10, 2024",Robert Brown - 555-0192 - rbrown@outlook.com
"276 Cedar Ln, Bronx, N.Y. 10004","$1,840,170",4346 sqft,apt,2023-08-29,Robert Brown - (555) 019-2834 - jsmith@gmail.com
"536 Broadway, Queens, ny 10002","$2,232,525",2387 sqft,apt,12/04/2023,Emily Davis - 555-0192 - jsmith@gmail.com
"759 Washington Blvd, NY, N.Y. 10002","$942,592",4023 sq ft,Townhouse,22-Jan-2024,Robert Brown - +1 555-0149 - rbrown@outlook.com
"200 Washington Blvd, New York City, N.Y. 10004","$1,034,748",2297 sq ft,Apartment,2023-09-06,Michael Wilson (emily.d@realestate.com)
"531 Washington Blvd, NY, NY",921013 USD,2179,twnd house,08/28/2023,David Taylor
"476 Cedar Ln, Brooklyn, ny 10004",868959,472 sq.ft.,apt,02/03/2024,Sarah Miller - +1 555-0149 - jsmith@gmail.com
"913 Pine Rd, New York, ny","$ 1,464,112.00",487,Single Family,05/26/2023,Michael Wilson - +1 555-0149 - alice_j@yahoo.com
"483 Cedar Ln, Queens, N.Y. 11101","$484,620",581 sqft,apt,"April 19, 2023",Sarah Miller - 5550192834 - alice_j@yahoo.com
"  694 cedar ln, NEW YORK CITY ","$2,490,276",2063,apt,11/26/2023,Alice Johnson (jsmith@gmail.com)
"  589 oak ave, NEW YORK ","$2,244,392",4235,Townhouse,16-Oct-2023,David Taylor - 5550192834 - jsmith@gmail.com
"706 Lakeview Dr, Staten Island, NY",1283685 USD,786,Multi-Family,20-Mar-2023,John Smith - 555-0192 - jsmith@gmail.com
"520 Park Ave, New-York, ny 10003",,2520,twnd house,2023-06-30,Michael Wilson - +1 555-0149 - rbrown@outlook.com
"64 Oak Ave, Staten Island, N.Y.",,1786,Single Family Home,2023-09-09,Emily Davis - +1 555-0149 - alice_j@yahoo.com
"458 Park Ave, New-York, NY 10002","$1,668,033",2718,apt,29-Dec-2023,John Smith - 5550192834 - jsmith@gmail.com
"  835 elm street, BRONX ",840377 USD,1374 sq.ft.,House,"May 10, 2024",John Smith - +1 555-0149 - jsmith@gmail.com
"  541 washington blvd, NEW YORK CITY ","$1,586,011",2975 sq ft,Single Family,"September 17, 2023",Sarah Miller - 5550192834 - emily.d@realestate.com
"975 Elm Street, New-York, New York","$805,774",2215,House,2023-02-22,John Smith - 5550192834 - emily.d@realestate.com
449 Broadway  New-York New York,1666647,984,Single Family,02-Apr-2024,John Smith - +1 555-0149 - jsmith@gmail.com
"664 Oak Ave, New York, New York 10002",679895,4104,Apartment,2023-01-16,Michael Wilson - 555-0192 - alice_j@yahoo.com
677 Park Ave  New York NY,"$947,559",2421,Apartment,03/26/2023,Robert Brown
"118 Main St, NY, New York 10002",2425995,3266,House,26-Aug-2023,Michael Wilson - (555) 019-2834 - rbrown@outlook.com
"930 Oak Ave, Bronx, N.Y. 10001","$1,613,926",2896,twnd house,2023-08-09,David Taylor - (555) 019-2834 - emily.d@realestate.com
"606 Lakeview Dr, New York, New York 11101","$1,241,124",934,Multi-Family,,Sarah Miller (jsmith@gmail.com)
"673 Oak Ave, New-York, New York 11101","$836,267",602,apt,"May 01, 2023",Emily Davis - 5550192834 - emily.d@realestate.com
"592 Lakeview Dr, New York, NY","$1,135,103",782,apt,2023-03-22,Michael Wilson - +1 555-0149 - rbrown@outlook.com
"843 Broadway, New York, New York 11201","$956,225",3333,Townhouse,05-Apr-2024,David Taylor - +1 555-0149 - jsmith@gmail.com
580 Broadway  NY ny,,2888,Single Family Home,"November 10, 2023",Emily Davis (emily.d@realestate.com)
"729 Washington Blvd, Queens, New York 10003","$1,057,757",3492,Apt.,2023-04-09,Sarah Miller - 5550192834 - jsmith@gmail.com
"487 Oak Ave, Queens, ny 10002","$462,253",2023 sq.ft.,Apt.,2024-02-21,Robert Brown - (555) 019-2834 - alice_j@yahoo.com
"458 Washington Blvd, Bronx, NY 10003","$732,702",1855 sq ft,Apt.,N/A,Alice Johnson - 5550192834 - emily.d@realestate.com
"991 Washington Blvd, Brooklyn, ny 11101","$2,062,503",3470 sq ft,twnd house,08/08/2023,Alice Johnson - 5550192834 - jsmith@gmail.com
"206 Cedar Ln, Staten Island, N.Y. 11201",1953202,451,twnd house,07-Nov-2023,Emily Davis - (555) 019-2834 - emily.d@realestate.com
"971 Main St, NY, New York 10002","$1,363,446",2893,Single Family,12-Aug-2023,Emily Davis - (555) 019-2834 - rbrown@outlook.com
"169 Oak Ave, New York City, ny 10004",756406,4401 sqft,Single Family Home,"May 16, 2023",David Taylor - 5550192834 - jsmith@gmail.com
"22 Elm Street, Staten Island, ny",1268135,1144 sq ft,condo,2023-06-04,Alice Johnson - +1 555-0149 - rbrown@outlook.com
"  782 lakeview dr, NEW-YORK ","$1,575,982",729,condo,2023-10-30,Robert Brown - +1 555-0149 - emily.d@realestate.com
578 Broadway  New-York ny,"$640,294",2106 sq ft,twnd house,07/08/2023,Emily Davis - 5550192834 - rbrown@outlook.com
"266 Oak Ave, Bronx, N.Y. 10001",1531398 USD,3543,apt,2023-01-01,Michael Wilson - (555) 019-2834 - emily.d@realestate.com
"92 Lakeview Dr, New York, ny 11101","$1,300,119",,twnd house,,Robert Brown - 555-0192 - alice_j@yahoo.com
"392 Elm Street, New York, New York",1261355 USD,3023,Single Family,2023-03-10,David Taylor - (555) 019-2834 - emily.d@realestate.com
"  35 washington blvd, NY ","$610,101",4303 sq ft,Single Family,22-Aug-2023,Robert Brown - +1 555-0149 - jsmith@gmail.com
"840 Lakeview Dr, Queens, NY 10002",1995560,3688 sq ft,House,"August 19, 2023",Michael Wilson - +1 555-0149 - rbrown@outlook.com
"  747 park ave, NEW-YORK ",496340,3886 sqft,Multi-Family,25-Jan-2023,David Taylor - (555) 019-2834 - jsmith@gmail.com
"91 Broadway, NY, ny 10003","$1,780,217",1905,Multi-Family,2023-11-28,Michael Wilson - (555) 019-2834 - alice_j@yahoo.com
"  650 elm street, NY ","$896,737",3007 sq ft,twnd house,"January 22, 2023",John Smith - 5550192834 - alice_j@yahoo.com
358 Park Ave  Queens NY,"$ 2,303,700.00",2279,Townhouse,01/26/2024,Robert Brown - (555) 019-2834 - alice_j@yahoo.com
"879 Broadway, Queens, N.Y.",491692,4414,House,2023-05-05,John Smith - +1 555-0149 - rbrown@outlook.com
"98 Park Ave, New-York, NY 10003",1524688 USD,1443,Single Family Home,31-Jan-2024,Michael Wilson - (555) 019-2834 - alice_j@yahoo.com
"  768 park ave, NEW YORK ","$1,275,723",1940,Apartment,"October 11, 2023",Sarah Miller - +1 555-0149 - alice_j@yahoo.com
"664 Oak Ave, New York, New York 10002","$255,000",4104,Apartment,2023-01-16,Michael Wilson - 555-0192 - alice_j@yahoo.com
720 Washington Blvd  Queens ny,"$403,918",1738,House,03/18/2024,Sarah Miller
553 Park Ave  Brooklyn New York,"$869,456",1049,Apt.,25-Jan-2024,David Taylor - +1 555-0149 - emily.d@realestate.com
809 Main St  New York N.Y.,"$889,137",2389 sq ft,Condo,27-Aug-2023,Alice Johnson (jsmith@gmail.com)
"975 Main St, NY, New York","$717,883",1097,condo,05/12/2024,John Smith - 5550192834 - alice_j@yahoo.com
"  559 main st, NY ",1784182 USD,1948,Townhouse,04/10/2023,Emily Davis - +1 555-0149 - rbrown@outlook.com
49 Elm Street  New-York N.Y.,2131570,4160,Apt.,,David Taylor - 5550192834 - alice_j@yahoo.com
523 Pine Rd  New York ny,,795,Condo,12/29/2023,Michael Wilson - (555) 019-2834 - rbrown@outlook.com
"  734 pine rd, NEW YORK ",2443643,3818 sq ft,Apt.,19-Jan-2024,John Smith - 555-0192 - rbrown@outlook.com
"16 Cedar Ln, New York, N.Y. 11201",,455 sqft,condo,2023-02-23,Emily Davis
63 Washington Blvd  Bronx NY,"$772,936",3575,Townhouse,"March 17, 2023",Alice Johnson - +1 555-0149 - rbrown@outlook.com
"166 Maple Ave, New York City, NY 11201","$331,691",1936 sq.ft.,condo,2023-05-03,John Smith (jsmith@gmail.com)
677 Park Ave  New York NY,"$947,559",2421,Apartment,03/26/2023,Robert Brown
"  716 elm street, NEW-YORK ","$2,276,721",2012,condo,,Michael Wilson - 555-0192 - emily.d@realestate.com
"153 Oak Ave, Staten Island, New York 10004","$836,490",3090,twnd house,05-Jan-2024,Sarah Miller (jsmith@gmail.com)
"  153 park ave, QUEENS ",1587579,3614 sq ft,condo,2024-03-24,Alice Johnson - +1 555-0149 - rbrown@outlook.com
"965 Maple Ave, NY, N.Y. 10003","$ 2,087,879.00",3331,Multi-Family,2023-09-28,Robert Brown (jsmith@gmail.com)
103 Oak Ave  NY ny,"$ 1,812,994.00",2728,Townhouse,18-Jun-2023,David Taylor - +1 555-0149 - jsmith@gmail.com
"410 Lakeview Dr, NY, New York 11101","$1,250,917",-999,Apartment,08-Jun-2023,Alice Johnson - 555-0192 - jsmith@gmail.com
"104 Park Ave, Brooklyn, NY 10003","$ 415,874.00",1220 sqft,Multi-Family,2023-10-14,Robert Brown - 5550192834 - jsmith@gmail.com
"  137 pine rd, NEW-YORK ","$2,044,320",3270 sq.ft.,condo,"March 23, 2023",John Smith (rbrown@outlook.com)
"  616 lakeview dr, NEW YORK ","$1,243,092",3935,Single Family,06/12/2023,Alice Johnson - (555) 019-2834 - jsmith@gmail.com
"280 Park Ave, NY, ny 10003",1349584,3818 sq ft,Multi-Family,04/30/2023,Michael Wilson - 5550192834 - alice_j@yahoo.com
"595 Cedar Ln, Brooklyn, ny 10001",2233806 USD,3773,Multi-Family,03/19/2023,Michael Wilson - 5550192834 - jsmith@gmail.com
"435 Washington Blvd, New-York, N.Y. 10003","$ 1,561,066.00",1757 sq ft,House,08-Mar-2023,John Smith - 5550192834 - alice_j@yahoo.com
"900 Park Ave, New-York, ny 10001",1767412,2491 sq ft,Condo,05/17/2023,Emily Davis
"536 Broadway, Queens, ny 10002","$2,232,525",2387 sqft,apt,12/04/2023,Emily Davis - 555-0192 - jsmith@gmail.com
"519 Lakeview Dr, New York City, N.Y. 10004","$2,177,578",488 sq.ft.,condo,12/13/2023,Robert Brown - 5550192834 - emily.d@realestate.com
"  491 park ave, NEW-YORK ",2078234,,House,2023-06-20,Alice Johnson - 5550192834 - emily.d@realestate.com
"556 Broadway, Queens, ny","$2,097,999",1604 sqft,House,2024-05-09,Michael Wilson - (555) 019-2834 - rbrown@outlook.com
"957 Broadway, New York City, N.Y. 10004",1643286 USD,2136 sqft,Condo,2023-05-17,Emily Davis - 555-0192 - emily.d@realestate.com
"57 Maple Ave, New York, New York 10003","$860,563",2137,Apt.,2023-03-31,Michael Wilson (alice_j@yahoo.com)
"428 Washington Blvd, Staten Island, ny 10004",379439 USD,1353,Townhouse,2023-05-28,Sarah Miller - +1 555-0149 - jsmith@gmail.com
"975 Main St, NY, New York","$717,883",1097,condo,05/12/2024,John Smith - 5550192834 - alice_j@yahoo.com
13 Main St  Queens ny,2028921,3822,Apt.,2023-05-22,David Taylor (jsmith@gmail.com)
"455 Pine Rd, Queens, ny 10004","$1,375,732",1455 sqft,Single Family Home,05-May-2023,Sarah Miller - +1 555-0149 - rbrown@outlook.com
"601 Oak Ave, New York City, New York 10003","$727,961",3983,Single Family,11/02/2023,John Smith - 5550192834 - rbrown@outlook.com
"166 Maple Ave, New York City, NY 11201","$331,691",1936 sq.ft.,condo,2023-05-03,John Smith (jsmith@gmail.com)
"743 Park Ave, Staten Island, N.Y. 10004",277257 USD,1103 sq ft,Apt.,N/A,John Smith - 5550192834 - rbrown@outlook.com
"965 Elm Street, Queens, ny","$2,230,633",2707,twnd house,18-Sep-2023,John Smith - 5550192834 - emily.d@realestate.com
"871 Lakeview Dr, Staten Island, New York 10004","$820,947",-999,House,2024-05-10,Sarah Miller - +1 555-0149 - alice_j@yahoo.com
"42 Cedar Ln, New York, N.Y. 10002","$390,829",3202 sq ft,,2024-01-15,Michael Wilson - (555) 019-2834 - jsmith@gmail.com
"458 Elm Street, NY, ny 11101","$1,520,172",3147,House,02/07/2023,Michael Wilson - +1 555-0149 - emily.d@realestate.com
"77 Elm Street, Staten Island, ny 11201","$ 1,967,288.00",752,apt,08/19/2023,Alice Johnson - (555) 019-2834 - alice_j@yahoo.com
"156 Lakeview Dr, New-York, NY 10002","$1,786,492",4339,Multi-Family,N/A,Michael Wilson (alice_j@yahoo.com)
"634 Washington Blvd, Brooklyn, N.Y. 10003",,4473,Condo,20-Dec-2023,Robert Brown - 5550192834 - rbrown@outlook.com
"687 Maple Ave, New York City, ny 10002",944321 USD,628,Condo,05/11/2024,Sarah Miller - +1 555-0149 - alice_j@yahoo.com
633 Elm Street  New York N.Y.,"$25,000,000",1193 sq.ft.,House,2023-02-05,John Smith - 555-0192 - alice_j@yahoo.com
881 Park Ave  New-York New York,"$1,636,989",2329 sq ft,Apartment,2024-01-13,Sarah Miller - (555) 019-2834 - alice_j@yahoo.com
"  958 washington blvd, QUEENS ","$2,291,247",1665,Townhouse,01-Feb-2023,Michael Wilson - +1 555-0149 - alice_j@yahoo.com
"864 Maple Ave, New York City, ny 10002",$2500,3975,Multi-Family,08-May-2023,Michael Wilson - +1 555-0149 - alice_j@yahoo.com
"91 Broadway, NY, ny 10003","$1,780,217",1905,Multi-Family,2023-11-28,Michael Wilson - (555) 019-2834 - alice_j@yahoo.com
"472 Broadway, Staten Island, New York",1994787 USD,1730,Single Family,2024-05-03,John Smith
"  795 lakeview dr, STATEN ISLAND ",1464970,1687,Multi-Family,2023-07-27,John Smith - (555) 019-2834 - emily.d@realestate.com
"  958 washington blvd, QUEENS ","$2,291,247",1665,Townhouse,01-Feb-2023,Michael Wilson - +1 555-0149 - alice_j@yahoo.com
"318 Oak Ave, New York, N.Y. 10004","$2,167,273",3877 sq.ft.,Apartment,11/20/2023,Alice Johnson - 5550192834 - emily.d@realestate.com
339 Broadway  Staten Island New York,"$1,813,670",3207 sq.ft.,Townhouse,N/A,Robert Brown - 5550192834 - rbrown@outlook.com
"922 Elm Street, New York City, N.Y.","$1,190,537",1273 sqft,Single Family Home,01/14/2023,Emily Davis - (555) 019-2834 - jsmith@gmail.com
