Student ID,Full Name,Email Address,Enrolled Course,Registration Date,Final Score,Amount Paid,Payment Status
STU-1064,Sarah Rodriguez,sarahrodriguez@hotmail.com,Web Development,14-03-2025,85,299,Failed
STU-1023,Emma Jones,emma.jones39@outlook.com,Data Science,07-02-2025,86,150,Paid
STU-1154,Sarah Miller,sarah.miller36@company.org,Digital Marketing,02-03-2025,,299,Unpaid
STU-1178,Matthew Smith,matthew.smith93@company.org,UX/UI Design,30-09-2025,79,299,Paid
STU-1251,Ashley Johnson,ashley.johnson82@outlook.com,Python for Beginners,18-10-2025,58,150,Pending
STU-1267,Daniel Martinez,daniel.martinez94@edu.com,Data Science,07-03-2025,,499,Paid
STU-1031,Emma Brown,emma.brown40@yahoo.com,Data Science,13-01-2025,67,299,Unpaid
STU-1221,Robert Jones,robert.jones96@outlook.com,UX/UI Design,19-09-2025,15,299,Paid
STU-1110,James Wilson,james.wilson43@yahoo.com,Python for Beginners,19-09-2025,62,299,Unpaid
STU-1125,Olivia Davis,olivia.davis54@gmail.com,UX/UI Design,15-09-2025,55,150,Unpaid
STU-1091,Daniel Garcia,daniel.garcia46@gmail.com,UX/UI Design,22-05-2025,15,499,Paid
STU-1057,Emma Lopez,emma.lopez98@company.org,Digital Marketing,25-05-2025,68,0,Paid
STU-1006,Robert Lopez,robert.lopez35@edu.com,Digital Marketing,13-10-2025,99,200,Paid
STU-1240,James Martinez,james.martinez88@edu.com,Python for Beginners,08-06-2025,65,150,Unpaid
STU-1146,Robert Anderson,robert.anderson@gmail.com,Data Science,10-10-2025,89,200,Paid
STU-1288,Emily Martinez,emily.martinez61@company.org,UX/UI Design,29-06-2025,66,150,Unpaid
STU-1220,Daniel Davis,daniel.davis63@yahoo.com,Python for Beginners,17-10-2025,68,150,Pending
STU-1209,Sarah Davis,sarah.davis52@company.org,UX/UI Design,03-08-2025,73,150,Paid
STU-1346,Michael Smith,michael.smith92@edu.com,Digital Marketing,12-08-2025,93,499,Failed
STU-1094,Sarah Hernandez,sarahhernandez@hotmail.com,Web Development,02-05-2025,,200,Unpaid
STU-1004,Robert Johnson,robert.johnson71@hotmail.com,Web Development,05-07-2025,52,299,Paid
STU-1193,Robert Jones,robert.jones87@outlook.com,Web Development,02-04-2025,,200,Pending
STU-1078,Ashley Johnson,ashley.johnson@gmail.com,Digital Marketing,21-02-2025,51,299,Paid
STU-1133,John Gonzalez,,Web Development,08-06-2025,84,150,Paid
STU-1295,Robert Jones,robert.jones72@yahoo.com,Data Science,19-02-2025,96,200,Unpaid
STU-1079,David Garcia,davidgarcia@company.org,UX/UI Design,17-10-2025,61,499,Pending
STU-1047,Jessica Garcia,jessica.garcia97@outlook.com,Data Science,11-02-2025,53,299,Pending
STU-1337,Daniel Hernandez,daniel.hernandez55@gmail.com,Data Science,03-10-2025,97,150,Paid
STU-1074,Andrew Garcia,andrew.garcia31@company.org,UX/UI Design,30-04-2025,70,499,Unpaid
STU-1248,Amanda Davis,amanda.davis94@company.org,Web Development,06-05-2025,51,299,Unpaid
STU-1156,Jessica Anderson,jessica.anderson79@edu.com,Web Development,03-06-2025,82,0,Refunded
STU-1210,Matthew Brown,matthew.brown83@company.org,Python for Beginners,16-10-2025,75,299,Unpaid
STU-1083,Olivia Anderson,olivia.anderson30@company.org,Web Development,30-06-2025,66,200,Paid
STU-1095,Robert Johnson,robert.johnson47@company.org,Digital Marketing,25-02-2025,89,299,Unpaid
STU-1197,Andrew Wilson,andrew.wilson76@yahoo.com,Web Development,23-07-2025,86,299,Unpaid
STU-1313,Michael Martinez,michael.martinez4@edu.com,Web Development,08-03-2025,76,150,Pending
STU-1350,Jessica Rodriguez,jessica.rodriguez79@edu.com,Python for Beginners,21-09-2025,,0,Refunded
STU-1194,Olivia Garcia,olivia.garcia48@outlook.com,UX/UI Design,17-10-2025,69,150,Paid
STU-1076,Robert Anderson,robert.anderson53@edu.com,Python for Beginners,08-02-2025,71,499,Paid
STU-1085,Emma Williams,emma.williams47@company.org,UX/UI Design,20-05-2025,80,299,Unpaid
STU-1285,Emma Davis,emma.davis95@outlook.com,Web Development,22-09-2025,82,150,Unpaid
STU-1008,David Williams,david.williams34@edu.com,Digital Marketing,08-08-2025,64,0,Refunded
STU-1114,Olivia Jones,olivia.jones12@company.org,Digital Marketing,17-09-2025,100,150,Failed
STU-1117,Matthew Hernandez,matthew.hernandez@gmail.com,Python for Beginners,13-10-2025,96,200,Unpaid
STU-1332,Ashley Anderson,ashley.anderson42@company.org,Python for Beginners,04-06-2025,72,299,Pending
STU-1326,Amanda Martinez,amanda.martinez87@edu.com,Web Development,01-10-2025,50,150,Unpaid
STU-1276,Daniel Rodriguez,daniel.rodriguez49@hotmail.com,Python for Beginners,17-08-2025,66,0,Pending
STU-1203,James Miller,james.miller72@yahoo.com,Digital Marketing,24-09-2025,58,0,Refunded
STU-1111,Ashley Wilson,ashleywilson@gmail.com,Python for Beginners,12-05-2025,98,150,Paid
STU-1278,Olivia Rodriguez,olivia.rodriguez61@company.org,Web Development,01-05-2025,,150,Paid
STU-1159,James Williams,james.williams65@company.org,Web Development,30-08-2025,53,200,Unpaid
STU-1266,Jessica Jones,jessica.jones94@outlook.com,Web Development,07-09-2025,85,299,Pending
STU-1224,Olivia Brown,olivia.brown69@hotmail.com,Digital Marketing,03-10-2025,68,299,Paid
STU-1243,Matthew Miller,matthew.miller@gmail.com,Digital Marketing,23-10-2025,82,499,Paid
STU-1142,Ashley Lopez,ashley.lopez47@company.org,Data Science,04-03-2025,65,150,Unpaid
STU-1018,Matthew Wilson,matthew.wilson@gmail.com,Digital Marketing,04-10-2025,98,200,Unpaid
STU-1195,Sarah Miller,sarah.miller8@edu.com,Python for Beginners,29-03-2025,91,150,Paid
STU-1025,Andrew Hernandez,andrew.hernandez34@gmail.com,Web Development,24-02-2025,,200,Unpaid
STU-1204,Michael Johnson,michael.johnson39@outlook.com,Web Development,09-02-2025,96,200,Failed
STU-1328,Jessica Wilson,jessica.wilson87@edu.com,UX/UI Design,25-04-2025,65,299,Paid
STU-1219,Emily Jones,emily.jones58@company.org,Python for Beginners,03-07-2025,62,499,Unpaid
STU-1141,Sarah Williams,sarah.williams92@outlook.com,Python for Beginners,13-06-2025,85,299,Paid
STU-1308,Andrew Brown,andrew.brown31@gmail.com,Python for Beginners,15-02-2025,92,150,Paid
STU-1348,Ashley Anderson,ashley.anderson3@company.org,Digital Marketing,16-01-2025,99,150,Pending
STU-1234,Ashley Brown,ashley.brown53@company.org,Digital Marketing,15-08-2025,,150,Unpaid
STU-1306,Daniel Johnson,daniel.johnson78@edu.com,Python for Beginners,03-08-2025,,150,Unpaid
STU-1245,John Davis,john.davis23@gmail.com,UX/UI Design,03-08-2025,96,150,Unpaid
STU-1273,James Hernandez,james.hernandez21@gmail.com,Python for Beginners,19-06-2025,94,299,Unpaid
STU-1174,Sarah Hernandez,sarah.hernandez12@company.org,UX/UI Design,29-01-2025,79,499,Unpaid
STU-1342,Robert Wilson,robertwilson@gmail.com,Digital Marketing,21-07-2025,69,0,Unpaid
STU-1020,Ashley Lopez,ashley.lopez92@outlook.com,Python for Beginners,08-04-2025,87,150,Unpaid
STU-1325,Emma Martinez,emma.martinez87@yahoo.com,Digital Marketing,02-04-2025,70,0,Refunded
STU-1080,Emily Anderson,emily.anderson82@hotmail.com,UX/UI Design,11-05-2025,79,200,Paid
STU-1019,Emily Davis,emily.davis8@yahoo.com,UX/UI Design,02-01-2025,100,299,Unpaid
STU-1334,David Brown,david.brown61@company.org,Web Development,05-01-2025,65,200,Paid
STU-1105,Michael Gonzalez,michael.gonzalez35@outlook.com,Digital Marketing,06-08-2025,67,0,Paid
STU-1287,John Anderson,john.anderson48@outlook.com,UX/UI Design,23-07-2025,15,150,Unpaid
STU-1119,Olivia Williams,olivia.williams95@edu.com,Web Development,27-09-2025,82,299,Unpaid
STU-1164,Daniel Anderson,daniel.anderson7@gmail.com,UX/UI Design,19-06-2025,,150,Paid
STU-1037,Emily Davis,emily.davis95@yahoo.com,Digital Marketing,13-02-2025,89,200,Unpaid
STU-1166,Andrew Anderson,andrew.anderson23@gmail.com,Web Development,23-07-2025,97,299,Paid
STU-1225,Michael Gonzalez,michael.gonzalez36@edu.com,Python for Beginners,09-03-2025,65,0,Refunded
STU-1228,James Wilson,james.wilson37@hotmail.com,UX/UI Design,23-10-2025,100,150,Paid
STU-1272,Sarah Johnson,sarah.johnson21@edu.com,Python for Beginners,08-10-2025,71,499,Paid
STU-1140,Emily Rodriguez,emily.rodriguez34@hotmail.com,Digital Marketing,17-08-2025,94,499,Paid
STU-1176,Andrew Davis,andrew.davis99@yahoo.com,Web Development,04-08-2025,78,499,Unpaid
STU-1060,Sarah Martinez,sarah.martinez@gmail.com,Python for Beginners,16-10-2025,,150,Unpaid
STU-1112,Matthew Hernandez,matthew.hernandez98@company.org,UX/UI Design,17-10-2025,70,299,Paid
STU-1279,Sarah Gonzalez,sarah.gonzalez22@yahoo.com,Web Development,09-04-2025,93,200,Pending
STU-1007,Matthew Garcia,matthew.garcia@gmail.com,Web Development,18-10-2025,91,499,Paid
STU-1269,Jessica Williams,jessica.williams91@edu.com,Digital Marketing,21-06-2025,65,299,Pending
STU-1259,Daniel Jones,daniel.jones62@gmail.com,Python for Beginners,24-05-2025,91,200,Paid
STU-1011,Robert Gonzalez,robert.gonzalez81@hotmail.com,Web Development,17-09-2025,,150,Unpaid
STU-1104,Ashley Rodriguez,ashley.rodriguez44@yahoo.com,Data Science,09-06-2025,86,150,Paid
STU-1184,David Brown,david.brown@gmail.com,UX/UI Design,09-07-2025,62,499,Paid
STU-1303,Matthew Brown,matthew.brown52@gmail.com,Data Science,25-04-2025,,200,Paid
STU-1232,Ashley Garcia,ashley.garcia55@edu.com,Python for Beginners,02-09-2025,96,150,Unpaid
STU-1311,Andrew Davis,andrew.davis94@gmail.com,Data Science,25-06-2025,79,0,Refunded
STU-1149,Ashley Smith,ashley.smith60@yahoo.com,Data Science,15-03-2025,96,299,Unpaid
STU-1256,John Smith,john.smith17@yahoo.com,Web Development,25-07-2025,91,299,Paid
STU-1238,Matthew Johnson,matthew.johnson@gmail.com,Data Science,21-04-2025,,299,Unpaid
STU-1148,Amanda Hernandez,amanda.hernandez70@hotmail.com,Digital Marketing,04-06-2025,93,499,Paid
STU-1319,Olivia Smith,olivia.smith43@company.org,Web Development,31-08-2025,78,200,Paid
STU-1093,Amanda Brown,amanda.brown19@company.org,Python for Beginners,22-05-2025,,299,Paid
STU-1070,Andrew Lopez,,Digital Marketing,03-05-2025,50,150,Pending
STU-1097,Andrew Johnson,andrewjohnson@yahoo.com,Data Science,27-10-2025,88,499,Unpaid
STU-1144,Olivia Martinez,olivia.martinez83@gmail.com,UX/UI Design,27-08-2025,99,200,Paid
STU-1098,Sarah Gonzalez,sarah.gonzalez84@company.org,Digital Marketing,21-04-2025,76,499,Unpaid
STU-1305,John Lopez,john.lopez16@company.org,Data Science,31-08-2025,93,299,Unpaid
STU-1069,James Smith,james.smith97@outlook.com,Digital Marketing,15-08-2025,85,299,Failed
STU-1038,Emma Gonzalez,,Data Science,01-09-2025,79,200,Unpaid
STU-1145,James Rodriguez,james.rodriguez@gmail.com,Python for Beginners,23-09-2025,85,200,Unpaid
STU-1123,Matthew Jones,matthew.jones54@yahoo.com,Web Development,13-04-2025,,499,Unpaid
STU-1068,Daniel Miller,daniel.miller59@gmail.com,Data Science,10-05-2025,75,150,Failed
STU-1330,Andrew Hernandez,andrew.hernandez97@company.org,UX/UI Design,11-04-2025,68,150,Paid
STU-1300,Michael Martinez,michael.martinez55@outlook.com,UX/UI Design,03-01-2025,73,299,Paid
STU-1126,Andrew Johnson,andrew.johnson19@yahoo.com,Python for Beginners,27-05-2025,58,499,Failed
STU-1147,Michael Hernandez,michael.hernandez44@company.org,Python for Beginners,15-01-2025,99,200,Unpaid
STU-1212,John Davis,john.davis11@gmail.com,Web Development,14-03-2025,100,0,Refunded
STU-1315,Daniel Lopez,daniel.lopez87@edu.com,UX/UI Design,18-03-2025,89,0,Refunded
STU-1183,Emma Wilson,emma.wilson19@outlook.com,Web Development,30-01-2025,85,499,Pending
STU-1327,Michael Smith,michael.smith97@yahoo.com,Data Science,09-05-2025,,200,Paid
STU-1293,Michael Rodriguez,michael.rodriguez77@outlook.com,Digital Marketing,13-06-2025,91,299,Pending
STU-1282,David Miller,david.miller61@gmail.com,Python for Beginners,22-05-2025,93,150,Unpaid
STU-1181,Emma Jones,emma.jones67@yahoo.com,UX/UI Design,03-06-2025,87,200,Unpaid
STU-1321,Sarah Jones,sarah.jones51@yahoo.com,UX/UI Design,08-04-2025,,150,Failed
STU-1263,Andrew Martinez,andrew.martinez73@company.org,Python for Beginners,16-10-2025,81,0,Refunded
STU-1130,Robert Rodriguez,robert.rodriguez71@gmail.com,UX/UI Design,29-08-2025,73,150,Unpaid
STU-1039,Emily Miller,emily.miller1@gmail.com,Web Development,06-08-2025,94,150,Pending
STU-1012,Emily Smith,emily.smith40@yahoo.com,Python for Beginners,04-05-2025,55,150,Paid
STU-1247,Jessica Johnson,,Data Science,30-05-2025,89,299,Unpaid
STU-1186,Andrew Brown,andrewbrown@outlook.com,Web Development,05-05-2025,75,299,Unpaid
STU-1199,Jessica Martinez,jessica.martinez51@hotmail.com,Python for Beginners,20-05-2025,64,499,Unpaid
STU-1113,Emily Johnson,emily.johnson36@company.org,Python for Beginners,30-06-2025,78,150,Unpaid
STU-1180,Emma Lopez,emma.lopez70@yahoo.com,Web Development,29-01-2025,64,299,Unpaid
STU-1246,Sarah Rodriguez,sarah.rodriguez@gmail.com,Data Science,22-09-2025,54,299,Unpaid
STU-1118,Sarah Martinez,sarah.martinez40@edu.com,Digital Marketing,20-07-2025,55,499,Unpaid
STU-1347,Emily Garcia,emily.garcia14@yahoo.com,Digital Marketing,11-02-2025,58,200,Pending
STU-1339,James Miller,james.miller41@gmail.com,UX/UI Design,02-03-2025,89,150,Paid
STU-1165,James Hernandez,james.hernandez62@edu.com,Data Science,28-05-2025,99,200,Paid
STU-1226,Michael Martinez,michael.martinez49@outlook.com,Python for Beginners,17-02-2025,94,299,Failed
STU-1137,Amanda Miller,amanda.miller8@gmail.com,Digital Marketing,27-07-2025,93,150,Paid
STU-1155,Matthew Williams,matthew.williams65@gmail.com,Python for Beginners,20-01-2025,80,200,Paid
STU-1200,Michael Hernandez,michael.hernandez99@company.org,Data Science,07-05-2025,,200,Unpaid
STU-1198,Daniel Anderson,daniel.anderson95@yahoo.com,Web Development,10-02-2025,53,200,Paid
STU-1003,Ashley Miller,ashley.miller98@hotmail.com,Python for Beginners,17-02-2025,72,150,Failed
STU-1116,John Brown,john.brown68@company.org,Digital Marketing,23-03-2025,74,299,Paid
STU-1211,Sarah Smith,sarah.smith96@company.org,UX/UI Design,25-10-2025,73,200,Unpaid
STU-1299,Daniel Williams,daniel.williams@gmail.com,UX/UI Design,21-05-2025,86,499,Paid
STU-1027,Matthew Williams,matthew.williams95@outlook.com,UX/UI Design,07-08-2025,15,200,Paid
STU-1121,Andrew Gonzalez,andrew.gonzalez20@yahoo.com,Python for Beginners,26-03-2025,,200,Failed
STU-1286,Ashley Rodriguez,ashley.rodriguez68@company.org,Python for Beginners,30-03-2025,53,150,Failed
STU-1322,Emily Hernandez,emily.hernandez64@gmail.com,UX/UI Design,25-01-2025,87,200,Paid
STU-1128,David Johnson,david.johnson80@outlook.com,Python for Beginners,26-02-2025,84,150,Pending
STU-1075,Daniel Gonzalez,daniel.gonzalez64@gmail.com,Python for Beginners,15-09-2025,56,499,Paid
STU-1301,John Hernandez,john.hernandez29@edu.com,Web Development,26-06-2025,,299,Paid
STU-1030,John Williams,john.williams53@edu.com,Web Development,08-05-2025,56,0,Refunded
STU-1084,Andrew Hernandez,andrew.hernandez57@gmail.com,Digital Marketing,06-07-2025,,499,Paid
STU-1223,Olivia Johnson,olivia.johnson95@company.org,Digital Marketing,29-06-2025,77,200,Paid
STU-1230,Michael Wilson,michael.wilson84@hotmail.com,Data Science,12-02-2025,60,299,Pending
STU-1134,David Garcia,,Digital Marketing,19-06-2025,77,499,Unpaid
STU-1185,Olivia Johnson,olivia.johnson93@edu.com,UX/UI Design,22-04-2025,71,150,Paid
STU-1066,Sarah Brown,sarah.brown74@company.org,Python for Beginners,18-05-2025,61,499,Pending
STU-1086,Matthew Johnson,matthew.johnson@gmail.com,Web Development,26-04-2025,75,299,Paid
STU-1187,James Davis,james.davis34@hotmail.com,UX/UI Design,12-09-2025,96,299,Paid
STU-1071,Olivia Anderson,olivia.anderson83@yahoo.com,UX/UI Design,30-05-2025,80,200,Failed
STU-1160,Daniel Davis,daniel.davis23@outlook.com,Web Development,30-09-2025,99,0,Refunded
STU-1013,Michael Hernandez,michael.hernandez34@company.org,Web Development,05-08-2025,98,200,Unpaid
STU-1171,Daniel Johnson,daniel.johnson88@company.org,Web Development,09-06-2025,68,200,Pending
STU-1143,Robert Martinez,robert.martinez71@yahoo.com,Digital Marketing,14-02-2025,95,499,Unpaid
STU-1297,Olivia Hernandez,olivia.hernandez10@outlook.com,Web Development,10-04-2025,74,499,Paid
STU-1249,Daniel Wilson,,Data Science,01-01-2025,97,150,Paid
STU-1151,Emma Wilson,emma.wilson74@edu.com,Data Science,08-04-2025,82,0,Refunded
STU-1222,Matthew Lopez,matthew.lopez55@gmail.com,Digital Marketing,07-05-2025,78,150,Failed
STU-1132,Olivia Gonzalez,olivia.gonzalez62@edu.com,Python for Beginners,11-03-2025,79,150,Paid
STU-1250,Robert Brown,robert.brown19@edu.com,Data Science,17-02-2025,83,299,Failed
STU-1052,Ashley Williams,ashley.williams84@hotmail.com,Digital Marketing,03-10-2025,96,299,Pending
STU-1241,Sarah Davis,sarah.davis@gmail.com,Digital Marketing,31-03-2025,94,0,Refunded
STU-1284,David Wilson,david.wilson13@yahoo.com,Python for Beginners,03-06-2025,70,499,Paid
STU-1179,Andrew Anderson,andrewanderson@edu.com,UX/UI Design,09-01-2025,,499,Paid
STU-1205,Sarah Williams,sarah.williams43@company.org,UX/UI Design,18-06-2025,91,200,Unpaid
STU-1042,Sarah Lopez,sarah.lopez41@company.org,Python for Beginners,12-03-2025,59,150,Unpaid
STU-1090,Andrew Miller,andrew.miller79@outlook.com,Data Science,17-01-2025,78,299,Paid
STU-1289,John Miller,john.miller28@yahoo.com,Digital Marketing,26-04-2025,76,0,Refunded
STU-1207,James Jones,james.jones15@company.org,Data Science,07-10-2025,51,499,Paid
STU-1255,Robert Smith,robert.smith23@gmail.com,UX/UI Design,20-08-2025,56,200,Paid
STU-1005,Olivia Brown,olivia.brown59@edu.com,Web Development,06-07-2025,92,150,Paid
STU-1257,John Johnson,john.johnson17@gmail.com,Web Development,19-06-2025,53,499,Unpaid
STU-1335,Daniel Anderson,daniel.anderson15@outlook.com,Data Science,04-10-2025,,299,Failed
STU-1101,David Martinez,davidmartinez@company.org,Data Science,21-03-2025,56,299,Paid
STU-1214,Andrew Lopez,andrew.lopez21@hotmail.com,UX/UI Design,07-08-2025,75,200,Unpaid
STU-1172,Michael Davis,michael.davis78@hotmail.com,UX/UI Design,09-10-2025,92,200,Paid
STU-1216,Matthew Wilson,matthew.wilson26@outlook.com,Python for Beginners,15-05-2025,90,499,Unpaid
STU-1048,Daniel Johnson,daniel.johnson97@gmail.com,Data Science,13-04-2025,65,150,Paid
STU-1268,Michael Martinez,michael.martinez79@yahoo.com,Digital Marketing,17-10-2025,71,200,Unpaid
STU-1333,Michael Rodriguez,michael.rodriguez54@company.org,UX/UI Design,26-07-2025,63,299,Unpaid
STU-1028,Olivia Garcia,oliviagarcia@yahoo.com,Python for Beginners,07-06-2025,52,200,Pending
STU-1291,Emily Jones,emily.jones67@company.org,UX/UI Design,27-10-2025,92,299,Unpaid
STU-1261,John Anderson,john.anderson61@company.org,Data Science,27-10-2025,56,299,Pending
STU-1163,Ashley Davis,ashley.davis35@company.org,Digital Marketing,20-05-2025,87,299,Paid
STU-1139,Jessica Davis,jessica.davis68@hotmail.com,UX/UI Design,10-06-2025,57,150,Paid
STU-1136,Jessica Johnson,jessica.johnson40@outlook.com,Digital Marketing,07-08-2025,78,299,Unpaid
STU-1129,Ashley Williams,,Data Science,04-05-2025,92,299,Paid
STU-1009,Sarah Gonzalez,sarahgonzalez@edu.com,Python for Beginners,05-08-2025,88,299,Paid
STU-1157,Olivia Smith,olivia.smith54@company.org,Data Science,14-01-2025,91,200,Paid
STU-1041,Andrew Williams,andrew.williams34@yahoo.com,Web Development,22-05-2025,90,299,Failed
STU-1343,Emma Miller,emma.miller19@yahoo.com,Python for Beginners,24-04-2025,57,150,Failed
STU-1302,Sarah Wilson,sarah.wilson59@edu.com,UX/UI Design,26-09-2025,58,499,Unpaid
STU-1217,Amanda Johnson,amanda.johnson80@yahoo.com,Web Development,02-06-2025,93,150,Pending
STU-1280,Jessica Anderson,jessica.anderson12@outlook.com,UX/UI Design,23-07-2025,83,150,Unpaid
STU-1323,Ashley Wilson,ashley.wilson77@company.org,Web Development,14-06-2025,88,200,Pending
STU-1237,Emily Hernandez,emily.hernandez2@hotmail.com,Web Development,12-06-2025,86,0,Refunded
STU-1208,Emily Gonzalez,emily.gonzalez53@edu.com,UX/UI Design,13-03-2025,92,499,Unpaid
STU-1213,Jessica Davis,jessica.davis58@hotmail.com,Python for Beginners,03-06-2025,51,150,Paid
STU-1252,Olivia Garcia,olivia.garcia95@hotmail.com,Data Science,20-08-2025,,0,Paid
STU-1304,Jessica Lopez,,Web Development,11-05-2025,88,150,Paid
STU-1270,Matthew Johnson,,UX/UI Design,03-08-2025,81,299,Unpaid
STU-1202,Robert Rodriguez,robertrodriguez@gmail.com,Data Science,11-10-2025,70,150,Unpaid
STU-1162,Sarah Martinez,sarah.martinez51@hotmail.com,Web Development,16-03-2025,95,499,Pending
STU-1044,John Garcia,john.garcia54@company.org,Digital Marketing,07-10-2025,81,0,Unpaid
STU-1191,Olivia Hernandez,,Python for Beginners,29-04-2025,,0,Failed
STU-1310,Jessica Gonzalez,jessica.gonzalez15@gmail.com,Web Development,24-01-2025,,299,Unpaid
STU-1260,James Gonzalez,james.gonzalez63@hotmail.com,Web Development,17-10-2025,61,299,Pending
STU-1106,Jessica Miller,jessica.miller76@outlook.com,UX/UI Design,07-06-2025,88,200,Unpaid
STU-1054,Matthew Jones,matthew.jones90@hotmail.com,UX/UI Design,06-01-2025,65,499,Pending
STU-1002,Sarah Brown,sarah.brown72@yahoo.com,Digital Marketing,07-10-2025,67,150,Paid
STU-1050,Amanda Hernandez,amanda.hernandez92@yahoo.com,Python for Beginners,05-05-2025,93,150,Paid
STU-1081,Emily Garcia,emily.garcia55@edu.com,Data Science,22-08-2025,74,150,Pending
STU-1206,Jessica Martinez,jessica.martinez41@yahoo.com,UX/UI Design,13-06-2025,81,200,Unpaid
STU-1035,Daniel Wilson,daniel.wilson65@hotmail.com,Digital Marketing,29-07-2025,85,499,Unpaid
STU-1264,John Johnson,john.johnson3@company.org,UX/UI Design,01-01-2025,58,200,Unpaid
STU-1092,Daniel Brown,daniel.brown3@gmail.com,Web Development,20-06-2025,15,150,Paid
STU-1053,Olivia Anderson,olivia.anderson32@outlook.com,Digital Marketing,14-07-2025,70,200,Unpaid
STU-1242,Jessica Rodriguez,jessica.rodriguez34@yahoo.com,Data Science,06-03-2025,96,150,Unpaid
STU-1089,Michael Smith,michael.smith64@gmail.com,Python for Beginners,01-05-2025,,499,Paid
STU-1274,David Brown,david.brown71@outlook.com,Python for Beginners,28-01-2025,68,499,Paid
STU-1167,John Jones,johnjones@hotmail.com,Data Science,21-08-2025,81,200,Failed
STU-1329,Andrew Miller,andrew.miller88@hotmail.com,UX/UI Design,28-01-2025,89,499,Pending
STU-1135,Jessica Williams,jessica.williams67@hotmail.com,Web Development,12-02-2025,,200,Unpaid
STU-1320,Jessica Garcia,jessica.garcia38@company.org,UX/UI Design,11-07-2025,,200,Unpaid
STU-1055,Ashley Davis,ashley.davis3@gmail.com,Data Science,24-04-2025,92,499,Unpaid
STU-1175,Ashley Smith,ashley.smith96@yahoo.com,Digital Marketing,07-02-2025,54,150,Paid
STU-1190,Michael Lopez,michael.lopez93@company.org,UX/UI Design,05-04-2025,91,150,Paid
