Student ID,Full Name,Email Address,Enrolled Course,Registration Date,Final Score,Amount Paid,Payment Status
STU-1197,  Andrew  Wilson ,andrew.wilson76@yahoo.com,Web Development Bootcamp,"July 23, 2025",86,9999,No
STU-1158,amanda davis,amanda.davis80@outlook.com,python for beginners,2025-05-05,57,499 USD,unpaid
STU-1313,Michael Martinez,michael.martinez4@edu.com,Web Development,03/08/2025,76,150,pending
STU-1350,Mr. Jessica Rodriguez,jessica.rodriguez79@edu.com,python for beginners,2025-09-21,N/A,200,Refunded
STU-1194,  Olivia  Garcia ,olivia.garcia48@outlook.com,UX/UI Design,2025-10-17,69,150,paid
STU-1076,Robert Anderson,robert.anderson53@edu.com,python for beginners,02/08/2025,71,499,PAID
STU-1085,Emma Williams,emma.williams47@company.org,UI/UX Basics,2025/05/20 00:00,80,299,unpaid
STU-1127,Amanda Smith,,Data Science 101,18-Mar-2025,83,299,Pending
STU-1017,  James  Lopez ,james.lopez32@yahoo.com,Data Science 101,10/02/2025,67,150,Failed
STU-1067,Michael Martinez,michael.martinez12@outlook.com,DS 101,07/29/2025,60,499,Unpaid
STU-1285,emma davis,emma.davis95@outlook.com,Web Development Bootcamp,"September 22, 2025",82,150,Unpaid
STU-1008,david williams,david.williams34@edu.com,Digital Marketing Essentials,"August 08, 2025",64,200,Refunded
STU-1114,Mr. Olivia Jones,olivia.jones12@company.org,Digital Marketing Essentials,09/17/2025,100,150,Failed
STU-1117,Matthew Hernandez,matthew.hernandezgmail.com,Python for beginners,13-Oct-2025,96,200,unpaid
STU-1332,ashley anderson,ashley.anderson42@company.org,Python for Beginners,06/04/2025,72,$299,Pending
STU-1326,Amanda Martinez,amanda.martinez87@edu.com,Web Development,2025-10-01,50,150,No
STU-1276,Daniel Rodriguez,daniel.rodriguez49@hotmail.com,python for beginners,2025-08-17,66,0,pending
STU-1203,James Miller,james.miller72@yahoo.com,Digital Marketing Essentials,2025-09-24,58,299,Refunded
STU-1111,Ashley Wilson,ashleywilson@gmail.com; ashley123@gmail.com,python for beginners,2025-05-12,98,150,yes
STU-1278,Olivia Rodriguez,olivia.rodriguez61@company.org,Web Development,05/01/2025,,150,Yes
STU-1061,Amanda Martinez,amanda.martinez67@outlook.com,UX/UI Design,2025-08-15,77,150,YES
STU-1159,James Williams,james.williams65@company.org,Web Development,"August 30, 2025",53,200,unpaid
STU-1266,  Jessica  Jones ,jessica.jones94@outlook.com,Web Development Bootcamp,07-Sep-2025,85%,299,Pending
STU-1224,Olivia Brown,olivia.brown69@hotmail.com,Digital Marketing Essentials,2025-10-03,68,299,YES
STU-1243,  Matthew  Miller ,matthew.millergmail.com,Marketing 101,23-Oct-2025,82,499,yes
STU-1142,Ashley Lopez,ashley.lopez47@company.org,Data Science 101,"March 04, 2025",65,150,NO
STU-1018,Matthew Wilson,matthew.wilsongmail.com,Digital Marketing,2025/10/04 00:00,98,200,no
STU-1195,Sarah Miller,sarah.miller8@edu.com,Python for Beginners,2025-03-29,91,150,paid
STU-1025,Dr. Andrew Hernandez,andrew.hernandez34@gmail.com,Web Development,2025/02/24 00:00,N/A,200,unpaid
STU-1204,michael johnson,michael.johnson39@outlook.com,Web Development Bootcamp,02/09/2025,96,200,Failed
STU-1328,Jessica Wilson,jessica.wilson87@edu.com,UI/UX Basics,2025/04/25 00:00,65,299,paid
STU-1298,olivia wilson,olivia.wilson44@outlook.com,Digital Marketing Essentials,2025-08-23,61,499,unpaid
STU-1219,Dr. Emily Jones,emily.jones58@company.org,Python for Beginners,"July 03, 2025",62,499,no
STU-1141,Sarah Williams,sarah.williams92@outlook.com,Python for beginners,13-Jun-2025,85,299,yes
STU-1308,Andrew Brown,andrew.brown31@gmail.com,Python for Beginners,"February 15, 2025",92,150,PAID
STU-1348,Ashley Anderson,ashley.anderson3@company.org,Digital Marketing,2025/01/16 00:00,99,150,pending
STU-1234,Ashley Brown,ashley.brown53@company.org,Digital Marketing,"August 15, 2025",999,$150,No
STU-1306,Daniel Johnson,daniel.johnson78@edu.com,python for beginners,2025/08/03 00:00,999,150,Unpaid
STU-1245,John Davis,john.davis23@gmail.com,UI/UX Basics,2025-08-03,96,150,NO
STU-1273,james hernandez,james.hernandez21@gmail.com,Python for beginners,2025-06-19,94,299,Unpaid
STU-1174,sarah hernandez,sarah.hernandez12@company.org,UX/UI Design,01/29/2025,79,499,Unpaid
STU-1342,Robert Wilson,robertwilson@gmail.com; robert123@gmail.com,Digital Marketing Essentials,21-Jul-2025,69,0,NO
STU-1020,Ashley Lopez,ashley.lopez92@outlook.com,python for beginners,2025-04-08,87,150,unpaid
STU-1325,Emma Martinez,emma.martinez87@yahoo.com,Marketing 101,02-Apr-2025,70,299,Refunded
STU-1080,Emily Anderson,emily.anderson82@hotmail.com,UX/UI Design,11-May-2025,79,200,PAID
STU-1169,Michael Martinez,michael.martinez55@company.org,DS 101,02/14/2025,999,499,unpaid
STU-1019,emily davis,emily.davis8@yahoo.com,UX/UI Design Fundamentals,"January 02, 2025",100,299,no
STU-1334,David Brown,david.brown61@company.org,Web Dev Bootcamp,2025-01-05,65,200,paid
STU-1105,Michael Gonzalez,michael.gonzalez35@outlook.com,Digital Marketing,08/06/2025,67,0,YES
STU-1287,John Anderson,john.anderson48@outlook.com,UI/UX Basics,23-Jul-2025,-15,,NO
STU-1119,Olivia Williams,olivia.williams95@edu.com,Web Development,2025-09-27,82,299,Unpaid
STU-1164,Daniel Anderson,daniel.anderson7@gmail.com,UX/UI Design Fundamentals,2025/06/19 00:00,999,150,yes
STU-1032,Daniel Rodriguez,daniel.rodriguez69@hotmail.com,Python for Beginners,"March 01, 2025",87,299,paid
STU-1037,Emily Davis,emily.davis95@yahoo.com,Digital Marketing,2025-02-13,89,200,Unpaid
STU-1166,andrew anderson,andrew.anderson23@gmail.com,Web Dev Bootcamp,2025/07/23 00:00,97,299,paid
STU-1225,Michael Gonzalez,michael.gonzalez36@edu.com,python for beginners,2025-03-09,65,499,Refunded
STU-1228,james wilson,james.wilson37@hotmail.com,UI/UX Basics,2025-10-23,100,150,paid
STU-1272,  Sarah  Johnson ,sarah.johnson21@edu.com,Python for beginners,"October 08, 2025",71,499,Paid
STU-1140,Emily Rodriguez,emily.rodriguez34@hotmail.com,Marketing 101,2025-08-17,94,499,Completed
STU-1176,Mr. Andrew Davis,andrew.davis99@yahoo.com,Web Development Bootcamp,08/04/2025,78,499,No
STU-1177,Sarah Hernandez,sarah.hernandez18@edu.com,Web Dev Bootcamp,2025-06-28,75,200,Paid
STU-1060,Sarah Martinez,sarah.martinezgmail.com,python for beginners,"October 16, 2025",999,9999,no
STU-1112,Matthew Hernandez,matthew.hernandez98@company.org,UX/UI Design,17-Oct-2025,70,299,Yes
STU-1279,Sarah Gonzalez,sarah.gonzalez22@yahoo.com,Web Development Bootcamp,2025-04-09,93,200,pending
STU-1007,Matthew Garcia,matthew.garciagmail.com,Web Development,"October 18, 2025",91,499,Yes
STU-1269,Jessica Williams,jessica.williams91@edu.com,Digital Marketing,06/21/2025,65,299,pending
STU-1259,Daniel Jones,daniel.jones62@gmail.com,Python for beginners,05/24/2025,91,200,Paid
STU-1011,robert gonzalez,robert.gonzalez81@hotmail.com,Web Dev Bootcamp,17-Sep-2025,N/A,150,unpaid
STU-1196,Emma Brown,emma.brown73@outlook.com,Data Science - Intro,"January 24, 2025",67,150,yes
STU-1104,ashley rodriguez,ashley.rodriguez44@yahoo.com,DS 101,2025/06/09 00:00,86,150,Yes
STU-1082,James Martinez,james.martinez90@hotmail.com,Python for Beginners,2025-07-22,93,150,Refunded
STU-1184,  David  Brown ,david.browngmail.com,UX/UI Design,2025-07-09,62,$499,paid
STU-1303,matthew brown,matthew.brown52@gmail.com,Data Science 101,2025/04/25 00:00,N/A,200,YES
STU-1232,Ashley Garcia,ashley.garcia55@edu.com,python for beginners,2025-09-02,96,150,unpaid
STU-1311,Andrew Davis,andrew.davis94@gmail.com,DS 101,2025-06-25,79,499,Refunded
STU-1149,ashley smith,ashley.smith60@yahoo.com,DS 101,03/15/2025,96,299,No
STU-1256,John Smith,john.smith17@yahoo.com,Web Dev Bootcamp,07/25/2025,91,$299,PAID
STU-1238,Mr. Matthew Johnson,matthew.johnsongmail.com,Data Science - Intro,2025-04-21,,299,no
STU-1148,Mr. Amanda Hernandez,amanda.hernandez70@hotmail.com,Digital Marketing,06/04/2025,93,499,PAID
STU-1319,Olivia Smith,olivia.smith43@company.org,Web Development Bootcamp,2025/08/31 00:00,78,$200,Paid
STU-1093,Amanda Brown,amanda.brown19@company.org,Python for Beginners,"May 22, 2025",N/A,$299,yes
STU-1070,Andrew Lopez,,Digital Marketing,2025/05/03 00:00,50,150,Pending
STU-1254,Michael Gonzalez,michael.gonzalez90@company.org,Python for Beginners,2025/04/21 00:00,55,299,No
STU-1097,  Andrew  Johnson ,andrewjohnson@yahoo.com; andrew123@gmail.com,Data Science - Intro,27-Oct-2025,88,499,no
STU-1144,Mr. Olivia Martinez,olivia.martinez83@gmail.com,UX/UI Design,27-Aug-2025,99,200,Yes
STU-1283,  Andrew  Anderson ,andrew.anderson96@outlook.com,Web Development,"May 18, 2025",,299,Unpaid
STU-1098,Sarah Gonzalez,sarah.gonzalez84@company.org,Marketing 101,04/21/2025,76,499,No
STU-1305,Dr. John Lopez,john.lopez16@company.org,Data Science - Intro,2025/08/31 00:00,93,299,no
STU-1069,james smith,james.smith97@outlook.com,Digital Marketing,2025/08/15 00:00,85,$299,Failed
STU-1024,Dr. Robert Jones,robert.jones9@yahoo.com,DS 101,2025-05-26,95,150,Unpaid
STU-1038,emma gonzalez,,Data Science 101,01-Sep-2025,79,200,No
STU-1145,James Rodriguez,james.rodriguezgmail.com,Python for beginners,2025-09-23,85%,200,NO
STU-1123,Matthew Jones,matthew.jones54@yahoo.com,Web Dev Bootcamp,2025/04/13 00:00,N/A,499,NO
STU-1068,Daniel Miller,daniel.miller59@gmail.com,DS 101,05/10/2025,75,150,Failed
STU-1330,Andrew Hernandez,andrew.hernandez97@company.org,UI/UX Basics,2025/04/11 00:00,68,150,yes
STU-1235,  Jessica  Miller ,jessicamiller@hotmail.com; jessica123@gmail.com,Digital Marketing,2025-02-13,96,150,Unpaid
STU-1300,Michael Martinez,michael.martinez55@outlook.com,UX/UI Design Fundamentals,2025-01-03,73,299,Completed
STU-1340,Jessica Anderson,jessica.anderson88@hotmail.com,Digital Marketing Essentials,2025-02-14,74,150,Refunded
STU-1126,Andrew Johnson,andrew.johnson19@yahoo.com,Python for Beginners,"May 27, 2025",58,499,Failed
STU-1147,Michael Hernandez,michael.hernandez44@company.org,Python for Beginners,2025-01-15,99,200,no
STU-1212,Dr. John Davis,john.davis11@gmail.com,Web Dev Bootcamp,03/14/2025,100,0,Refunded
STU-1087,Mr. Matthew Miller,matthew.miller59@hotmail.com,Digital Marketing,15-May-2025,73,$200,Refunded
STU-1315,daniel lopez,daniel.lopez87@edu.com,UX/UI Design Fundamentals,2025/03/18 00:00,89,$200,Refunded
STU-1183,emma wilson,emma.wilson19@outlook.com,Web Development,30-Jan-2025,85,499,Pending
STU-1327,Michael Smith,michael.smith97@yahoo.com,Data Science - Intro,2025-05-09,,200,paid
STU-1293,Michael Rodriguez,michael.rodriguez77@outlook.com,Digital Marketing,13-Jun-2025,91,299,pending
STU-1282,David Miller,david.miller61@gmail.com,python for beginners,05/22/2025,93,150,No
STU-1181,Emma Jones,emma.jones67@yahoo.com,UX/UI Design Fundamentals,2025-06-03,87,200,no
STU-1321,Sarah Jones,sarah.jones51@yahoo.com,UX/UI Design,2025/04/08 00:00,999,150,Failed
STU-1119,Olivia Williams,olivia.williams95@edu.com,Web Development,2025-09-27,82,299,Unpaid
STU-1263,Mr. Andrew Martinez,andrew.martinez73@company.org,python for beginners,"October 16, 2025",81,200,Refunded
STU-1130,Robert Rodriguez,robert.rodriguez71@gmail.com,UX/UI Design Fundamentals,2025-08-29,73,150,NO
STU-1039,emily miller,emily.miller1@gmail.com,Web Development Bootcamp,2025-08-06,94,150,Pending
STU-1012,Dr. Emily Smith,emily.smith40@yahoo.com,Python for Beginners,"May 04, 2025",55,150,Yes
STU-1247,Jessica Johnson,,Data Science 101,30-May-2025,89,9999,NO
STU-1186,Andrew Brown,andrewbrown@outlook.com; andrew123@gmail.com,Web Development,05-May-2025,75,299,Unpaid
STU-1199,Jessica Martinez,jessica.martinez51@hotmail.com,Python for Beginners,2025/05/20 00:00,64,499,no
STU-1113,Emily Johnson,emily.johnson36@company.org,Python for Beginners,30-Jun-2025,78,,NO
STU-1180,Mr. Emma Lopez,emma.lopez70@yahoo.com,Web Development Bootcamp,2025-01-29,64,299,unpaid
STU-1246,Sarah Rodriguez,sarah.rodriguezgmail.com,Data Science 101,"September 22, 2025",54,299,Unpaid
STU-1234,Ashley Brown,ashley.brown53@company.org,Digital Marketing,"August 15, 2025",999,$150,No
STU-1118,Sarah Martinez,sarah.martinez40@edu.com,Marketing 101,2025-07-20,55,499,unpaid
STU-1347,Emily Garcia,emily.garcia14@yahoo.com,Digital Marketing,2025/02/11 00:00,58,200,pending
STU-1076,Robert Anderson,robert.anderson53@edu.com,python for beginners,02/08/2025,71,499,PAID
STU-1174,sarah hernandez,sarah.hernandez12@company.org,UX/UI Design,01/29/2025,79,499,Unpaid
STU-1339,James Miller,james.miller41@gmail.com,UX/UI Design Fundamentals,02-Mar-2025,89,$150,PAID
STU-1165,James Hernandez,james.hernandez62@edu.com,Data Science 101,05/28/2025,99,$200,paid
STU-1226,Michael Martinez,michael.martinez49@outlook.com,Python for beginners,02/17/2025,94,299,Failed
STU-1137,  Amanda  Miller ,amanda.miller8@gmail.com,Digital Marketing,07/27/2025,93,150 USD,Yes
STU-1155,matthew williams,matthew.williams65@gmail.com,Python for Beginners,2025-01-20,80,200,Yes
STU-1200,Michael Hernandez,michael.hernandez99@company.org,Data Science - Intro,2025/05/07 00:00,999,200 USD,No
STU-1198,Daniel Anderson,daniel.anderson95@yahoo.com,Web Development Bootcamp,10-Feb-2025,53,$200,PAID
STU-1078,Ashley Johnson,ashley.johnsongmail.com,Digital Marketing,02/21/2025,51,,paid
STU-1003,  Ashley  Miller ,ashley.miller98@hotmail.com,Python for beginners,02/17/2025,72,150,Failed
STU-1273,james hernandez,james.hernandez21@gmail.com,Python for beginners,2025-06-19,94,299,Unpaid
STU-1116,John Brown,john.brown68@company.org,Digital Marketing Essentials,03/23/2025,74,299,paid
STU-1211,Mr. Sarah Smith,sarah.smith96@company.org,UI/UX Basics,25-Oct-2025,73,200,NO
STU-1299,  Daniel  Williams ,daniel.williamsgmail.com,UX/UI Design,2025-05-21,86,499,PAID
STU-1027,Matthew Williams,matthew.williams95@outlook.com,UI/UX Basics,07-Aug-2025,-15,200,paid
STU-1121,Andrew Gonzalez,andrew.gonzalez20@yahoo.com,python for beginners,2025/03/26 00:00,,200,Failed
STU-1286,Ashley Rodriguez,ashley.rodriguez68@company.org,Python for Beginners,2025-03-30,53,9999,Failed
STU-1156,Jessica Anderson,jessica.anderson79@edu.com,Web Dev Bootcamp,03-Jun-2025,82,299,Refunded
STU-1322,Emily Hernandez,emily.hernandez64@gmail.com,UI/UX Basics,25-Jan-2025,87,200,yes
STU-1128,Mr. David Johnson,david.johnson80@outlook.com,Python for beginners,2025/02/26 00:00,84,,Pending
STU-1075,Daniel Gonzalez,daniel.gonzalez64@gmail.com,python for beginners,"September 15, 2025",56,499,YES
STU-1301,Mr. John Hernandez,john.hernandez29@edu.com,Web Development,06/26/2025,999,299,yes
STU-1030,John Williams,john.williams53@edu.com,Web Dev Bootcamp,2025-05-08,56,150,Refunded
STU-1084,Andrew Hernandez,andrew.hernandez57@gmail.com,Digital Marketing Essentials,2025/07/06 00:00,999,499,yes
STU-1228,james wilson,james.wilson37@hotmail.com,UI/UX Basics,2025-10-23,100,150,paid
STU-1108,Sarah Miller,,Python for Beginners,"August 24, 2025",86,499,no
STU-1223,Olivia Johnson,olivia.johnson95@company.org,Marketing 101,"June 29, 2025",77,200 USD,Completed
STU-1230,Michael Wilson,michael.wilson84@hotmail.com,Data Science - Intro,02/12/2025,60,$299,Pending
STU-1134,David Garcia,,Digital Marketing,2025-06-19,77,499,No
STU-1185,olivia johnson,olivia.johnson93@edu.com,UI/UX Basics,04/22/2025,71,150,Completed
STU-1305,Dr. John Lopez,john.lopez16@company.org,Data Science - Intro,2025/08/31 00:00,93,299,no
STU-1045,Emily Smith,emily.smith52@edu.com,python for beginners,"August 28, 2025",84,,No
STU-1275,sarah smith,sarah.smith11@outlook.com,Web Dev Bootcamp,03/01/2025,81,299,PAID
STU-1066,Sarah Brown,sarah.brown74@company.org,Python for Beginners,18-May-2025,61,499,pending
STU-1316,Olivia Davis,olivia.davisgmail.com,UX/UI Design,2025-06-14,53,499,No
STU-1086,Matthew Johnson,matthew.johnsongmail.com,Web Development Bootcamp,"April 26, 2025",75,299,PAID
STU-1187,James Davis,james.davis34@hotmail.com,UI/UX Basics,09/12/2025,96,299,Completed
STU-1071,Dr. Olivia Anderson,olivia.anderson83@yahoo.com,UX/UI Design,30-May-2025,80,200,Failed
STU-1160,Daniel Davis,daniel.davis23@outlook.com,Web Development,09/30/2025,99,299,Refunded
STU-1013,Michael Hernandez,michael.hernandez34@company.org,Web Dev Bootcamp,"August 05, 2025",98,200,Unpaid
STU-1036,Daniel Lopez,daniel.lopez39@outlook.com,UI/UX Basics,01/01/2025,100,299,Failed
STU-1029,Daniel Johnson,daniel.johnson53@company.org,Marketing 101,"March 21, 2025",60,200,no
STU-1171,Daniel Johnson,daniel.johnson88@company.org,Web Development,09-Jun-2025,68,200,Pending
STU-1143,Robert Martinez,robert.martinez71@yahoo.com,Digital Marketing Essentials,2025-02-14,95,499,no
STU-1297,Olivia Hernandez,olivia.hernandez10@outlook.com,Web Development,10-Apr-2025,74,499,paid
STU-1249,Daniel Wilson,,DS 101,2025/01/01 00:00,97,150,Completed
STU-1151,Emma Wilson,emma.wilson74@edu.com,DS 101,2025/04/08 00:00,82,299,Refunded
STU-1229,Sarah Hernandez,sarah.hernandez16@yahoo.com,UX/UI Design,2025-08-22,62,200,Unpaid
STU-1222,Matthew Lopez,matthew.lopez55@gmail.com,Marketing 101,2025-05-07,78,150,Failed
STU-1132,Olivia Gonzalez,olivia.gonzalez62@edu.com,python for beginners,2025-03-11,79,,Completed
STU-1250,Robert Brown,robert.brown19@edu.com,Data Science - Intro,2025-02-17,83,299,Failed
STU-1052,Ashley Williams,ashley.williams84@hotmail.com,Digital Marketing Essentials,2025/10/03 00:00,96,299,Pending
STU-1241,Sarah Davis,sarah.davisgmail.com,Digital Marketing,2025-03-31,94,,Refunded
STU-1279,Sarah Gonzalez,sarah.gonzalez22@yahoo.com,Web Development Bootcamp,2025-04-09,93,200,pending
STU-1096,Emily Hernandez,emily.hernandezgmail.com,UX/UI Design,07/25/2025,999,499,PAID
STU-1284,David Wilson,david.wilson13@yahoo.com,python for beginners,"June 03, 2025",70,499,PAID
STU-1179,Andrew Anderson,andrewanderson@edu.com; andrew123@gmail.com,UX/UI Design Fundamentals,2025-01-09,,499,paid
STU-1205,  Sarah  Williams ,sarah.williams43@company.org,UX/UI Design Fundamentals,06/18/2025,91,200,Unpaid
STU-1124,Dr. Robert Anderson,robert.anderson16@hotmail.com,Python for beginners,2025-03-24,59,150,Pending
STU-1042,  Sarah  Lopez ,sarah.lopez41@company.org,Python for beginners,2025-03-12,59,150,no
STU-1090,Andrew Miller,andrew.miller79@outlook.com,Data Science - Intro,17-Jan-2025,78,299,YES
STU-1289,Mr. John Miller,john.miller28@yahoo.com,Digital Marketing,26-Apr-2025,76,150,Refunded
STU-1207,James Jones,james.jones15@company.org,Data Science 101,2025-10-07,51,499,Completed
STU-1255,Robert Smith,robert.smith23@gmail.com,UX/UI Design Fundamentals,20-Aug-2025,56,200,YES
STU-1312,Matthew Miller,matthew.miller15@yahoo.com,Marketing 101,"January 31, 2025",56,499,Failed
STU-1005,Olivia Brown,olivia.brown59@edu.com,Web Dev Bootcamp,2025-07-06,92,150,yes
STU-1257,john johnson,john.johnson17@gmail.com,Web Development,2025-06-19,53,499 USD,No
